Land Area,Trade flow,Commodity,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Algeria,Export,Crustaceans,854,819,916,871,862,1057,922,709,643,525,364,411,286,219,218,211
Algeria,Export,Fish,187,259,977,307,215,223,500,618,994,793,457,109,277,317,339,308
Algeria,Import,Crustaceans,23,21,128,176,415,448,304,612,597,953,1009,1269,1619,1835,1932,1518
Algeria,Import,Fish,7434,7426,10389,20923,22053,19481,22280,19508,16719,26442,28127,27081,26391,29121,39576,41075
Angola,Export,Crustaceans,630,834,1951,346,363,1189,1562,1405,899,916,1059,619,1388,1609,1365,1683
Angola,Export,Fish,2896,9746,6272,4149,3223,1818,1786,2742,5019,6005,4508,2769,8718,8210,7010,5334
Angola,Import,Crustaceans,6,12,31,18,23,65,84,151,113,518,878,937,1227,871,1656,758
Angola,Import,Fish,7981,7800,8778,11888,19988,14490,24566,27974,41103,48844,64206,96017,160369,131669,183804,143389
Benin,Export,Crustaceans,423,609,703,408,151,128,82,12,0,3,0,24,26,2,0,1
Benin,Export,Fish,64,3,3,9,29,0,247,630,65,112,1149,1082,505,479,1174,280
Benin,Import,Crustaceans,19,1,69,3,0,44,42,1,1,0,1,5,33,7,6,1
Benin,Import,Fish,20888,10974,20267,27393,26857,44286,56019,65853,79810,74332,77472,80149,78594,84313,77142,94629
Botswana,Export,Crustaceans,4,13,1,2,1,0,0,4,1,1,0,0,0,0,0,0
Botswana,Export,Fish,13,33,35,39,24,27,42,32,7,112,36,59,190,221,234,267
Botswana,Import,Crustaceans,314,501,236,48,73,19,40,60,36,44,32,77,34,49,31,63
Botswana,Import,Fish,3574,2669,2397,2485,2445,3318,2582,2919,2987,4063,4105,3273,4873,4391,4545,4563
Burkina Faso,Export,Fish,9,15,0,0,0,688,1500,2507,3387,4384,3260,2674,2833,2160,2100,3301
Burkina Faso,Import,Crustaceans,59,42,21,27,48,37,1,292,6,91,173,155,226,381,210,30
Burkina Faso,Import,Fish,12250,7551,8143,8405,11398,22282,25146,26891,26914,42973,50805,60181,60611,62763,65551,75271
Burundi,Export,Fish,2,4,6,13,6,8,13,13,12,11,9,11,31,158,118,47
Burundi,Import,Crustaceans,0,0,1,1,0,0,0,1,1,0,1,1,3,1,0,0
Burundi,Import,Fish,63,79,52,111,57,24,84,35,38,88,514,1316,2722,3014,2998,2076
Cabo Verde,Export,Crustaceans,12,0,23,18,26,12,10,8,1,8,8,17,49,27,7,5
Cabo Verde,Export,Fish,322,246,238,44,324,9111,18172,9807,10081,13380,15909,17997,14163,16717,28419,30255
Cabo Verde,Import,Crustaceans,12,10,12,21,21,36,56,67,68,60,67,101,101,117,113,108
Cabo Verde,Import,Fish,61,173,79,88,93,106,232,258,335,423,328,440,576,573,513,453
Cameroon,Export,Crustaceans,375,110,94,77,2,3,1,2,1,10,4,5,5,2,5,1
Cameroon,Export,Fish,62,217,12,71,70,87,1419,2013,1659,3016,4237,1770,3291,3124,3881,3358
Cameroon,Import,Crustaceans,5,4,9,22,14,11,29,21,1140,2909,3376,201,75,84,82,90
Cameroon,Import,Fish,81469,97843,78800,125394,120277,106740,101375,139323,150586,201060,163788,216046,183609,207663,208586,216592
Central African Republic,Export,Fish,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central African Republic,Import,Crustaceans,2,0,0,44,0,0,0,0,0,0,0,0,0,3,1,2
